,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,position,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
233,201449,1999-04-06,"Los Angeles, CA, USA",USA,175.0,76.0,R,Tampa Bay Lightning,False,2017,6,180,Tampa Bay Lightning,cole-guttman,,,,,2017,2020-06-03,Cole Guttman,F,0.12,7,40.6
234,370364,2000-08-04,"Waterdown, ON, CAN",Canada,188.0,84.0,L,Boston Bruins,False,2018,6,181,Boston Bruins,dustyn-mcfaul,,,,,2018,2020-06-03,Dustyn McFaul,D,0.09,10,20.5
235,355153,2000-02-01,"Rochester, NY, USA",USA,183.0,85.0,R,Carolina Hurricanes,False,2019,6,181,Carolina Hurricanes,kevin-wall,,,,,2018,2020-06-03,Kevin Wall,F,0.11,9,20.9
236,352013,2001-07-27,"Wilcox, SK, CAN",Canada,188.0,90.0,L,Tampa Bay Lightning,False,2019,6,182,Tampa Bay Lightning,quinn-schmiemann,,,,,2019,2020-06-03,Quinn Schmiemann,D,0.18,21,39.1
237,272976,1998-08-07,"Amherst, MA, USA",USA,180.0,84.0,L,San Jose Sharks,True,2018,6,182,San Jose Sharks,john-leonard,,,,,2016,2020-06-03,John Leonard,F,0.08,4,35.9
238,300846,1998-05-17,"Hermantown, MN, USA",USA,185.0,89.0,L,Tampa Bay Lightning,False,2018,6,183,Tampa Bay Lightning,cole-koepke,,,,,2016,2020-06-03,Cole Koepke,F,0.11,4,32.5
239,416872,2001-07-05,"Uxbridge, ON, CAN",Canada,188.0,85.0,L,Carolina Hurricanes,False,2019,6,183,Carolina Hurricanes,blake-murray,,,,,2019,2020-06-03,Blake Murray,F,0.21,20,104.8
240,397011,2001-01-15,"Riihimäki, FIN",Finland,185.0,83.0,L,San Jose Sharks,False,2019,6,184,San Jose Sharks,santeri-hatakka,,,,,2019,2020-06-03,Santeri Hatakka,D,0.03,24,21.3
241,201447,1999-06-09,"Huntington Beach, CA, USA",USA                                                                                             /  Ukraine,183.0,85.0,R,San Jose Sharks,True,2017,6,185,San Jose Sharks,sasha-chmelevski,,,,,2017,2020-06-03,Sasha Chmelevski,F,0.22,6,38.0
242,241374,2000-02-28,"Rouyn-Noranda, QC, CAN",Canada,191.0,91.0,R,,,2018,6,185,Vegas Golden Knights,xavier-bouchard,,,,,2018,2020-06-03,Xavier Bouchard,D,0.19,12,42.7
243,428827,2001-06-21,"Lappeenranta, FIN",Finland,181.0,73.0,L,Boston Bruins,False,2019,6,185,Boston Bruins,matias-mantykivi,,,,,2019,2020-06-03,Matias Mäntykivi,F,0.03,30,29.9
244,244216,1999-01-18,"Kouvola, FIN",Finland,186.0,78.0,L,Pittsburgh Penguins,False,2017,6,186,Pittsburgh Penguins,antti-palojarvi,,,,,2017,2020-06-03,Antti Palojärvi,D,0.03,9,20.0
